game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo,havoc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
W (34-27),2,18,31.0,197,2,40,269,2,6.7,71,6.6,3,7,3,22,7,49,2,0,0,2.0,24.0,36.0,329.0,2.0,35.0,139.0,1.0,4.0,71.0,6.6,2.0,9.0,2.0,25.0,9.0,85.0,1.0,1.0,93.71380734935629,,,,,,,,,
W (55-14),0,13,22.0,112,1,57,427,6,7.5,79,6.8,3,20,3,28,3,20,0,0,0,1.0,18.0,29.0,242.0,2.0,30.0,104.0,0.0,3.5,59.0,5.9,0.0,4.0,0.0,15.0,4.0,36.0,0.0,1.0,103.84083328671647,,,,,,,,,
L (14-17),2,13,20.0,97,0,18,83,1,4.6,38,4.7,1,4,1,9,7,60,2,0,1,0.0,15.0,30.0,134.0,1.0,52.0,181.0,1.0,3.5,82.0,3.8,5.0,9.0,5.0,22.0,5.0,55.0,0.0,0.0,-8.513646207396986,,,,,,,,,
W (23-21),0,11,21.0,151,1,34,195,1,5.7,55,6.3,2,7,2,16,9,65,0,0,1,1.0,12.0,19.0,171.0,2.0,54.0,244.0,1.0,4.5,73.0,5.7,0.0,17.0,0.0,24.0,3.0,30.0,1.0,0.0,40.30401463495009,,,,,,,,,
L (20-24),1,25,47.0,253,2,25,70,0,2.8,72,4.5,3,4,3,18,8,59,0,1,0,4.0,12.0,19.0,111.0,3.0,51.0,286.0,0.0,5.6,70.0,5.7,4.0,13.0,4.0,24.0,6.0,73.0,3.0,1.0,24.432933024646907,,,,,,,,,
L (28-31),0,28,44.0,338,4,29,142,0,4.9,73,6.6,3,8,3,26,9,51,0,0,1,0.0,13.0,20.0,140.0,3.0,63.0,390.0,1.0,6.2,83.0,6.4,3.0,18.0,3.0,26.0,7.0,66.0,0.0,0.0,3.813575048768629,,,,,,,,,
L (10-13),1,14,36.0,121,1,24,94,0,3.9,60,3.6,2,6,2,12,8,66,1,0,0,3.0,6.0,13.0,60.0,1.0,55.0,270.0,0.0,4.9,68.0,4.9,2.0,13.0,2.0,18.0,8.0,45.0,1.0,2.0,-11.869262413919506,,,,,,,,,
W (38-13),0,15,23.0,138,0,30,275,4,9.2,53,7.8,0,10,0,17,7,60,0,0,0,0.0,26.0,41.0,235.0,1.0,29.0,113.0,0.0,3.9,70.0,5.0,1.0,8.0,1.0,20.0,5.0,30.0,0.0,0.0,21.661806250834484,,,,,,,,,
W (55-24),0,24,34.0,307,3,41,361,5,8.8,75,8.9,3,13,3,29,4,55,0,0,1,1.0,14.0,32.0,176.0,0.0,49.0,179.0,3.0,3.7,81.0,4.4,2.0,13.0,2.0,22.0,7.0,80.0,1.0,0.0,62.10560348995972,,,,,,,,,
W (43-40),1,23,40.0,286,2,43,224,3,5.2,83,6.1,1,15,1,27,4,40,1,0,1,1.0,16.0,36.0,245.0,1.0,41.0,141.0,3.0,3.4,77.0,5.0,0.0,7.0,0.0,19.0,6.0,49.0,0.0,1.0,107.93530408967123,,,,,,,,,
